,title_review_comments,verified_purchase
62,good sent good door vasili merit like soap seem merit dry soap quit long time certain cometh good seem good main sell point beyond effect did hour door prone mark cloth certain seem work far go though all test every single colour good though recommend,1
63,real copy great wash cheap fast deliver,0
64,plastic yet last day age start produce perfect glass bottle sudden plastic,1
65,angry useless even worth star bring lot white stuff high expect total failure wast,0
66,sure bought step dad,0
67,lynn effect definite depend person love oh smell good hate year still everyone else,0
68,good price great gift,0
69,classic best classic know pullman mayo cap stay much cleaner jar last great every,1
70,cool cool,0
71,cocoa butter absolute great moisture dry complain it smell great like cock butter smell,0
72,peril combine buy great package buy,0
73,india smell love work well truly india,0
74,well price nice cost effect,0
75,great exact say kitchen sink away get block since put block last month,0
76,pleasant scent favourite scent intense rang smell love last age cloth recommend amount otherwise scent isnt strong definite doesnt did wash probably half,1
77,favourite deter find best laundri part include dose like liquid powder smell great wash well,1
78,gorgeous did calorie really big portion,1
79,good cream east apply feel extreme cool dry kind stick feel little scent fact fragrance fair neutral good cream spread soak vasili review collect part promote,1
80,beauty exceed made feel silk smooth extreme hydrate couple week felt wealthier hydrate overall look better would definite recommend friend review collect part promote,1
81,smooth clear cream light colourless leave feel genuine smooth supply refresh part night routine apply go bed wash dry light enough clot more feel stick more away feel smooth replenished cream daytime benefit describe it\added longest enough term hydrate give mean often feel need reappli hour great overnight moisture sent it\added unspent it\added really gentle sore patch review collect part promote,1
82,fresh clean fresh clean reliable deliver,0
83,clean nice smell great combine start hi born still,0
84,came really quick nice fresh smell,0
85,perfect winter drink grave thing transport us back into time boris thing good unctuous tar black boris overflow spoon `` king king king stir hot water make dissolve earth beef smell hint clerk good know else sometime get alcohol fatigue boris great alter nightcap even mug tea even go far dissolve pat butter extra rich within hour pretty much knock sleep sound more warm comfort pack last long time sure certain winter,0
86,love condition love bought cheaper home bargain,0
87,item damage item damage unable without pillage transfer not bottle unable wait replace,0
88,smell very good good price,0
89,good price came fast,0
90,gone hi simple absolute musthav facial moisture find up store anywhere discontinue pleas,1
91,new formula make constant sneer pleas go back old capsule new make household suffer terrible alter reaction constant fever,1
92,great smell soften never usual laundri soften pleasant surprise result cloth smelt great smell last despite children best effort cloth came much softer think convert,1
93,prefer glass jar admit lover switch back glass jar admit right consist squeeze glass jar recycle,1
94,good thank,0
95,good good smell cloth got it great buy dont put much wash clean cloth fragrance last long time,0
96,good sent lure entice fragrance condition notice eye would smart kid would ask seem quiet eye back comfort pure reaction smell good soften cloth complain,1
97,strong pleasant smell give good result fragrance strong though last long time really like dont wont really all still avoid,1
98,good good,0
99,expel value good size spray,0
100,bargain price shampoo price bulk pack less buy item individu somewhere else shampoo tend dry hair like lot chemical perfect contain not keep dandruff free even antidandruff shampoo away work found past,0
101,stock cure like make soup cassel well,0
102,taste low calorie best ice cream ever,1
103,expel shampoo live extreme hard water area half year soon hair become dry scalp sent great shampoo husband complete satisfy,1
104,east east recommend get glad go somewhere,0
105,dissatisfied disappoint show big condition small arrive,0
106,good price know work,0
107,price good doesnt clean cloth well man cloth wont smell good wise price good,0
108,good value would recommend good value,0
109,none buy thank,0
110,lynn say,0
111,refresh away fan antiperspir effect last longer ever really gentle keep fresh day long,0
112,good expect repeat purchase,0
113,value money expel value money,0
114,good value expel clean good value,0
115,best antiperspir ever happy,0
116,expel value expel value,0
117,certain last great value shampoo,1
118,great deal amazon market place exact say box amazon deal less money spent,0
119,expect better buy store inv exact similar lit costo thick smelt love similar regular size supermarket dont think large quantity issue amazon run it dilute doesnt smell soften cloth may face inm think really curious bad batch amazon source genuine ball,0
120,love may offer price could resist,0
121,best handwash hand really dry bleed due eczema handwash moment dry hand make bleed,1
122,job issue say,0
123,stock item stock cupboard need say time soup risotto,0
124,leave white mark simple love deodorant scent great fresh sport week never problem never leave white mark cloth,1
125,great flavour chicken grave really well add wonder flavour,1
126,great may great price,0
127,worth money smell great east hand applied,0
128,good value good value would recommend,0
129,great smell door love smell great value money,1
130,floor cleaner floor cleaner smell good home feel refresh,0
131,good brilliant buy,0
132,value money,0
133,smell fall fabric condition work less smell divine last,0
134,day fresh could find shop bought online thought face brand smell similar quit africa poorer since new label,1
135,block novel year happy last novel block within week clear hot water bit disappoint,1
136,bottle design buy year content good howe bottle a three time cut right fingernail open turn upside approach empty due ridicule design bottle,1
137,simple brilliant pleasant little scent shower get brilliant nasty chemical smell super clean design great whole family young old simple friend mean perfume colour honest say leave merit sent problems prone derma stuff could wash gentle review collect part promote,1
138,hydrate wipe wipe great get stubborn make love fact wipe sinus miner plant extract the merit sting feel smooth refresh review collect part promote,1
139,refresh feel great quality great quality wipe strong tear apart like wipe must buy brand purchase near future satisfy simple line review collect part promote,1
140,clean great don\added strong smell love wipe great job remove make left feel squeaky clean bonus absence strong smell feel left love review collect part promote,1
141,great get make sent work really well took make vasili didn\added merit felt really refresh would definite purchase future would recommend review collect part promote,1
142,work well month really pleas work get make vasili smell nice wet leave moisture silk clean merit defiant new favourite make remove review collect part promote,1
143,love soft test quench night cream light soft texture apply night soak make fell soft would recommend friend family work wonder review collect part promote,1
144,refresh happy light sent would recommend apply much wish day doesn\added feel bad east plastic tub east screw top review collect part promote,1
145,light moisture great water base moisture light give dew complexion since twice day notice signify improve last tone review collect part promote,1
146,not great not great simple ever stop make pleas,1
147,good stick rib did good flavor,0
148,great great,0
149,supreme question say bottle,0
150,sunshine day good value favourite condition,0
151,beauty smell love smell,0
152,hard spray novel love howe it hard spray would recommend though,0
153,love subtle scent got disappoint little less thick condition market make go notice tray get much afterward cloth soft love subtle scent still large bottle go long way,1
154,love fragrance good value little go long way,1
155,uncertain convince smell match origin seem less thick previous rescript refer battery review show verify purchase none,0
156,great great soap wife love actual moisture everytim,0
157,love love soap clean well keep hand moist good people eczema,0
158,definite worth every penn definite worth money laundri often last month definite buy,0
159,great smell fast deliver arrive super fast two good size bottle know people moan review size fabric softened ultra consent need full cap last long enough fabric soften smell great,0
160,comfort great happy,0
161,good great price â£d purchase still price would subscribe buy,0
162,bargain love smell smaller bottle make manage beat â£d,0
163,great value work well great value did three bag bought,0
164,favourite fabric soften love comfort pure children sent merit like soften done past scent pleasant overflow,1
165,thank thank,0
166,comfort bit water,0
167,good good,0
168,consent blue bottle clot better smell less blue bottle cloth hang outside wash line small any,1
169,great value money great value money smell nice seem stop hair static day,0
170,ok good,0
171,bad package arrive broken spilt inside envelope,0
172,ok squire well,1
173,dishwat good value amount capsule get packet good price,0
174,comfort condition bit run thick liquid ok,0
175,quality work great,0
176,new formula burn simple rich moisture year need find alter new formula burn real shame loyal custom switch inform explain proved manufacture,1
177,fantasy expel value money,0
178,value money great buy,0
179,like scent person last sold,0
180,love three flavour good,1
181,best man english mustard time away back coman sunday roast tube invade serve inferior,1
182,favourite tea till suggest really buy tea bag pg tip good strong flavour like strong tea get really good cup tea bag package like never problem damage tea bag mention continue buy stael,1
183,breach breach breach breach breach,1
184,love fragrance buy shampoo husband shave head every week year require expense shampoo fragrance love complaint lather well clean head/tiny bit hair perfect nice package really go wrong â£d,1
185,love door stick best door ever go love smell may leave feel dry confide smell fresh day long love star high recommend,1
186,great great quality,0
187,brilliant smell buy amazon prime order problem,0
188,smell beauty great love scent last age,0
189,,0
190,good wash cloth nice,0
191,great last great last add depth flavour meal import family lumen free,0
192,last not like suppose year ago love good student luck add admit sac even past last like cardboard situate recent access kettle chose gunshot big mistake,0
193,ensuit bottle pillage like bottle ensuit plastic thin good thing mean almost impose pick bottle fill small cap without spill signify amount respect bottle still relate full buy happy decent content studies bottle,1
194,smell far love lynn happy buy write review female like scent think scent stay longer nice consist lose hand plughol,1
195,spot perfect,0
196,love smell great great price,0
197,really good long last last fore work well would change not brand smell pretty neutral,0
198,good go,0
199,even nonvegan love consider friend brought dinner part began enjoy turn everybody love even dairy version device flavour less heavy texture really good vanilla ice cream,1
200,stupid lid fine struggle get smooth thin lid time wet hand impose design make difficult hold bottle buy,1
201,door away buy love quality smell nice leave mark cloth,1
202,without may love keep hair protect,0
203,happy item happy item,0
204,made brilliant left drain clear clean,1
205,great value great value,0
206,ok fine,0
207,need cap full drop half cap bought load offer wash half cap small much good sens smell way rescript say put drop like utf need cap full think b did wash,1
208,love scent bulk bought drive heavy carry supermarket scent good suppose last did wash half lawful like throw full cap last long,1
209,value money quit solid find easier contain place warm water,0
210,good around good around thank,0
211,had pouch arrive peril box brown box safe package good wash capsule east,0
212,package well deliver fast fantasy price motherinlaw love great,0
213,softer well worth,1
214,water smell real seem genuine brand came smell liquid usual consist comfort buy,0
215,know claim did wash idea claim did wash,0
216,man time like,0
217,problem cant get live dead hand,0
218,smell love smell,0
219,good value smell good expense,0
220,okay good,0
221,great protect hair love inv past couple year recent bought amazon found whole lot cheaper boot tame hair dry along protect heat,0
222,good value money good value money,0
223,disgust dont know anyone like smells/last like weed vinegar,1
224,bad design struggle open lid spill every time cap measure terrible design itself fine would avoid buy merit lid,1
225,bad change man year problem differ pitch bought differ shop still itchy buy anymore,1
226,nature look an bought week ago man differ an best across leave feel moisture soft nice nature an streak definite recommend,1
227,good value good value money contain make difficult without spill,0
228,capsule stuck together leak never buy did capsule stuck together leak make anus cancel subscribe,0
229,good clean kid sent,0
230,smooth taste nice mustard smooth taste,1
231,toilet great,1
232,rate price rate nephew christmas would,0
233,look super moisture wash leave super soft,1
234,love get super dry winter help reduce foi,1
235,kid sent merit us great last scent little bit go long way bottle last price reason compare similar,1
236,wash soft origin dove\ origin smell love prefer smell succumb green tea deep most wash mean defined work great mostureris prefer still recommend good,1
237,winter help keep moisture find need follow lotion shower get dry work well inexpens like plain scent well,1
238,feel like really get clean love lotion feel price,1
239,love soft feel cold winter month respect help,1
240,good good,0
241,great huge size worth every penn huge bottle smell love cloth dry indoor need soften extra scent fast delivery thankyou,0
242,slime would buy frequent leave slime cloth particular lower temperature wash manufacture know package advise simple ring warm water occur g load machine east spot usual find put garment time dry entrust,0
243,peril tax great smell clean brilliant,0
244,good package comfort spilt time put wash machine heavy like said comfort wise good,0
245,perfect price great price,0
246,really enliven laundri love size bottle smell gorgeous little go long way,0
247,smell devil fall stock filler,0
248,would recommend prevent heat damage great buy blow dry hair prevent heat damage would recommend got great price bottle,0
249,cant tell happy yet probe fault couldnt get spray gun work star cheap devil quick numpti couldnt open,0
250,terrible contain condition good howe bottle lid terrible difficult tiny lid/measure bottle hold buy cause much agra,1
251,coman beat,0
252,hellmann mayonnaise real never change,0
253,really nice pallid smell amazing smell look really health,0
254,nice may did man,0
255,thank perfect price,0
256,damage arrive broken lid leak box half bottle left,0
257,expel value good value set took star expect comfort size peril quit bit smaller picture mislead apart great set reason price,0
258,great stock save money quit strong smell need much,0
259,soap love cream soap would any else love lather shower smell love not like,0
260,great smell nice smell great anitipersperi work,0
261,great love work really well protect hair would expect,0
262,could better make hair smell great definite recommend condition work really great well,0
263,may price may seller definite recommend may came perfect time,1
264,great away based go holiday love bath south day sun,1
265,last like pond water stain teeth cup sorry say last a great greasy film top stain teeth cream think people milk realise get mix straight would see bad two cent,1
266,go laundri deter work even did°,0
267,nice nice smell last longer,0
268,fabric soften love smell,1
269,say usual lynn standard,0
270,scent love scent good wash,0
271,good expel,0
272,new formula burn cream burn lot spot buy,1
273,fall never any else soft cream paper ideal summer winter not compare worth every penn,1
274,soft gentle eye cream bought man time best eye cream around view respect us advance year need cometh gentle effect expel vitamin miner simple approach cream would choose any else fact buy online boot local store away stock,1
275,smell may leave stubborn wax residue love scent smell somewhat like baby powder feminine inm sure much keep perspire sweat lot dance keep smell bay love wish doesnt leave horrible wax residue hard remove shower,0
276,worth price pay perfect quick snack brilliant cupboard stock,0
277,soap choice love soap leave feel smooth moisture,0
278,fresh smell really fresh,0
279,love smell value sign subscribe great value wonder smell last age never fabric condition compare,0
280,good handwash smell nice cream texture meant dry hand buy,1
281,terrible change later did year change cometh merit slight burn sent earth would change perfect pleas go back old,1
282,vaselin cream smell divine east glide feel soft luxury every dry patch smooth soft smell divine well worth star desert island review collect part promote,1
283,smell like your holiday smell maman fresh great value large bottle last age cheaper high st store roi cant carry heavy shop,0
284,great value bill,0
285,nice smell shower get nice smell shower get,0
286,it comfort fabric softer wouldnt like what love it decent fabric soften nice fragrance,0
287,favourite smell nice cloth nice soft,0
288,comfort smell love love smell comfort buy time would differ recommend leave cloth smell nice,0
289,favourite fabric soften smell may,1
290,smell love smell nice keep cloth smell fresh,1
291,smell good smell good last long time order not,0
292,easier get cheaper get ask attend,1
293,brilliant usual purchase costo extreme good value would definite recommend,0
294,doesnt work may well plain water would job not,0
295,great size perfect flavour,0
296,ok ok,0
297,did/did laundri,0
298,good nice,0
299,quick deliver great value,0
300,perfect decent price lot cheaper store last age,0
301,nice prefer buy,0
302,hair great hair straighten,0
303,brilliant value money great great price,0
304,taste suppose,0
305,yep good arrive good say,0
306,joke dodd wash perform recommend amount refresh fabric similar amount normal need luck get dodd wash,0
307,nice smell nice just hour,0
308,advertise happy â£did its it consent it say did wash state,0
309,may dry keep moisture much longer,1
310,nice scent like fabric soften return,1
311,splendid value money gave jar away gift still two huge jar admit survive breast,0
312,smell divine smell divine love fresh fragrance last thought dwyer cycle cloth storage like,0
313,none good price good wash,0
314,greasy good quality found cream absorb greasy oil felt comfort apply think well love compare expense cheap good quality,1
315,may bottle stuff may hair candid recommend enough,1
316,tempt bought treat children love taste fill treat summer time indoor winter got local supermarket back review collect part promote,1
317,mrs happen love cream enema remove,1
318,beauty bar pink sceptic soap it\added little miracle first could see huge differ feel plump moisture love glow daily stael love thank,1
319,soft simple hydrate clean wipe even remove make clean found wipe soft east wipe not wet rough enough remove stubborn make feel gentle time ideal need tone make hurry hand travel would recommend anyone sent dry review collect part promote,1
320,refresh recent true soon wipe fantasy give perfect clean work moisture refresh every time well worth good revive review collect part promote,1
321,may pleas pleas magnum tub ideas school amazebal love love love flavour go well together device,1
322,gentle shower get mild yet give nice shower expert feel clean shower get gentle without merit keep family bathroom member household mean clatter man little go long way review collect part promote,1
323,nice wash quit sent wash often break get wash howe wash issue really great little go long way really recommend sent review collect part promote,1
324,great shower get first time today package good east open etc good squeeze release shower get smell love shower puff shower get forth vasili well felt soft moisture clean would recommend review collect part promote,1
325,nature inured anti perfume colour harsh chemical upset love thank simple not brilliant brilliant sent recommend everyone else good quality review collect part promote,1
326,perfect sent love simple products shower get make feel clean soft refresh without nasty chemical strong perfume scent great every day respect sent dry quit prefer soft song gentle emboli suffer dry would give go super afford east review collect part promote,1
327,simple i\added shower get really like pretty much unspent leave feel clean particular like sent issue since good value money good size review collect part promote,1
328,wash love nice apply song shower good make warm nice make dry good recommend everyone need bath shower review collect part promote,1
329,refresh got couple day ago shower refresh leave soft smooth love fresh smell succumb make feel relax would high recommend best review collect part promote,1
330,love fragrance leave love fragrance laundri howe hate absolute arrow unilever/comfort design large heavy bottle without incorpor hand hold hand lid like go spill hand floor buy,1
331,go big go home cap white gold wash machine expect springfresh cloth time matter cold wash cardiac thirtydegre tie boil liking clean anyway look review small bottle could doubt devil buy next size get clang clang hit town,1
332,ok near good sainsburi sainsburi chekmar cheeks sac mix did scrummi good relic flavour perfect cheeks sac require east make pleas sainsburi bring back version,1
333,luxury shower get really enjoy luxury shower get simple felt fresh scent kept feel really clean confide nasty chemical worry children could review collect part promote,1
334,perfect shower get sent perfect sent shower get clean refresh without merit like various get love fresh smell contain great inured chamois oil would definite recommend review collect part promote,1
335,hydrate refresh love shower get exact aim lather well smell divine left feel extreme fresh hydrate afterward need lot either mean long last cost effect review collect part promote,1
336,say tin great shower wash even though succumb extract strong smell any great husband happy sent merit would like see co friend inured glass bottle refill option review collect part promote,1
337,nature subtle got little concern detest succumb war worry really strong get clear smell fresh overflow go guess due nature admit rather artifice flavour etc lather well smell left linger great stuff review collect part promote,1
338,smell nature love smell shower get smell quit nature like brand fragrance strong feel quit refresh shower get trend dry get seem right balance clean moisture review collect part promote,1
339,not special i\added around week i\added say it\added pretty standard shower get smell quit strange smell like succumb bottle almost like tea quit gentle until i\added say it\added pretty average review collect part promote,1
340,simple shower get simple refresh shower get really great sent colour nasty stuff smell really good proved good lather merit even little nice without complaint review collect part promote,1
341,simple simple rang pretty sent love shower get foam nice mild refresh scent feel soft clean without dry review collect part promote,1
342,refresh light scent shower get shower get more say refresh left soft supply light refresh smell give thorough clean feel definite new stael family children include review collect part promote,1
343,true bought month ago stop repurchas \added refreshing\added suggest love fresh smell stay wash nice continue sent gentle review collect part promote,1
344,silk smooth love simple shower get like get like blue hard rub slip bath go smooth vasili wast leave feel silk soft top scent smell simple like review collect part promote,1
345,purify like simple brand feel nature chemical wash shower get really great cometh less scent basic feel friend leave feel clean wash review collect part promote,1
346,alright neutral it\added cheap get pay smell nicest nature special standard shower get post doesn\added artifice perfume colour chemical review collect part promote,1
347,perfect sent reactive eczema found shower get calm agra i\added male pleas see fewer inured similar perfume later doesn\added smell any ideal i\added male happy not brand shower get feel safe without risk flare review collect part promote,1
348,simple soft may feel super soft touch foam vasili hand smooth like silk slight scent overflow didn\added need lot get either little went long way didn\added merit single bit massive bonus love review collect part promote,1
349,gentle expect simple nice gentle need town last expect complaint nice consist would definite buy review collect part promote,1
350,simple success yet simple great ever away great fan simple quit sent perfect refresh without overflow scent little go long way well particular puff review collect part promote,1
351,good basic shower get really gentle clean strong smell though kind foam nice hope scent bit would great sent relic small amount need review collect part promote,1
352,great shower get week say great subtle smell clean well would recommend good shower get afford price star review collect part promote,1
353,good shower get love shower get fresh scent little bit go long way keep smell fresh longest hour gentle make whole soft smooth would high recommend review collect part promote,1
354,simple shower get simple brand break vasili get dry brand soap/show get like simple happen simple refresh shower get exact say give clean feel without merit later smell review collect part promote,1
355,good shower get sent bought shower get time when sent react not true simple brand neutral great job merit look cometh luxury high scent shower get good everyday essential review collect part promote,1
356,good away feel dry shower howe since seen real improve like texture away feel good refresh nice light refresh scent review collect part promote,1
357,gentle love simple know harm start facial start shower get great soft smell leave feel really soft would high recommend review collect part promote,1
358,fresh smell simple rang full nasty kind shower get refresh light succumb smell bubble well left soft dry great family refresh flora masculine smell review collect part promote,1
359,bit simple thought would give shower get whirl away look new friend said good thought would give whirl scent hard doesn\added last like expect doesn\added allow feel like i\added male any prefer scent last day said serve purpose soap would buy unless man option avail review collect part promote,1
360,love tend not soap free brand it\added great suffer reaction soap dry great person would probably baby\added fragrance free it\added great value money review collect part promote,1
361,great love shower get perfume thing respect due baby market lot avoid post birth merit fresh job without harm chemical review collect part promote,1
362,refresh didn\added merit instead felt nice soft instant apply vasili didn\added lot felt refresh scent level right overflow review collect part promote,1
363,hope it need perfect,0
364,terrible spill everywhere box,0
365,great scent absolute love scent make cloth smell fresh well bed linen,0
366,good pick rush store pleas remove make was leave feel tighter brighter side wipe remain strong moist usual cellar water continue good overflow scent perfume colour expel quality dimmed result disappoint super soft residue pleas,1
367,gorgeous shower cream sly usual buy organ comet nature without high price tag delight find shower cream big brand contain sly harm merit foam agent great lather silk smooth thick cream gentle rich enough moisture dry mature gorgeous relic fragrance feel far expense expel value respect contain sodium laurels sultan sodium laurel sultan parade,1
368,shame bottle mayonnaise would get star last contain style substance squeeze bottle genius idea stop tall size cap make top heavy unstable every bottle give ever put fridge tumble cap made brittle plastic shatter hit kitchen floor like groundhog day time happen review comment impose get bottle sure contain cry design overhauled,1
369,gumma ice cream ice cream great cook dough piece right size ice cream cream device problem open tub impose stop eat gone,1
370,heaven night treat perfect,1
371,best perfect even better offer,1
372,fall wipe far concern best remove make even waterproof lascar man make none good,1
373,quality clot breach toilet clean year keep back domestic far superior really thick expel clean job away reliable,1
374,simple best give man alter mayo beat homeward reliable taste verbatim last age fridge,1
375,bad quality half bag split,0
376,love scent good value money wash really well love smell,0
377,beauty moisture love rang lotion greasy east apply soak quick leave feel super soft moisture great value money scent fresh light great go beauty essential bathroom cupboard review collect part promote,1
378,south happy vaselin intense cream gentle south fuss purchase sent dry tick box perfect type happy review collect part promote,1
379,smell feel may more receive bottle vaselin all south trait sample could wait feel smell may lotion east apply soak right love review collect part promote,1
380,expel suffer dry age away look find best give relief stop look final find vaselin intense all first big bottle worry finish fast smell nice clean fresh final import relief south really absorb fast need wait put cloth really love review collect part promote,1
381,absolute gorgeous cream best cream expect much pleasant surprise cream nice cream white texture greasy absorb quick make feel love soft smooth cream absolute gorgeous refresh smell all vera could smell day love review collect part promote,1
382,decent regular lotion decent everyday lotion clean light scent luxury nature petroleum all fair light texture job effect moisture good price respect still damp review collect part promote,1
383,love cream love day cream make feel love help age,0
384,great great arrive quick nice scent,0
385,great arrive time well package great dont need much strong fragrance,0
386,good value money really good value money perfect wash baby cloth,0
387,leak transit leak order suggest,0
388,expel value love smell soft,0
389,expel expel awhile suitable whole family make obvious choice,1
390,a start could find old simple night cream impress seem cause breakup eye merit make differ sot make words,1
391,ball dry love sweet smell lotion cream thick absorb quick bottle state nongreasi formula found correct apply lotion more did hour later still felt soft review collect part promote,1
392,leave soft lotion never vaselin wish pleasant fragrance leave soft nourish shower area dry tend bed really notice differ previous lotion more review collect part promote,1
393,fantasy got couple day ago shower smell really nice really good leave soft smooth last day cold weather need cometh like really good keep moisture fresh day review collect part promote,1
394,vasili absorb smell great light fragrance lotion dispense vasili bottle found spread well across absorb quit quick really seem work well dwyer area knee elbow feet level quit thin absorb quick meant need bed sock slip place night moisture feet really well really impress verbatim lotion review collect part promote,1
395,really make differ month love dry twice week help keep control eldest daughter eczema small amount every night elbow really help smell love absorb quick leave stick residue like love lot review collect part promote,1
396,really good high recommend suffer bad dry winter start vaselin intense all south lotion result may feel soft smooth happy continue daily review collect part promote,1
397,fantasy dry love cream heavy soak keep moisture age really soft fragrance perfume remind holiday suffer really dry arm hand applied look felt signify better review collect part promote,1
398,perfect time year winter left dry respect hand wrist perfect slut moisture clean fresh smell all absorb really quick greasy feel small amount need make differ did my bottle last well spring daily routine review collect part promote,1
399,miracle bottle absolute love suffer dry sent vaselin moisture without react flare pitch terrible first thing notice beauty fresh aroma soon clip open lid soon apply drop onto instant felt south sent feel greasy unlike man moisture absorb quick effect quick felt moisture hydrate help dry problem massive every day particular shower bath bed confide still feel fresh moisture more fantasy defiant recommend review collect part promote,1
400,smell far love light none stick moisture go well soak leave residue tend leave feel soft moist heavy good everyday review collect part promote,1
401,great value it usual get big carbon trainer last month prefer ideal sent fair bit wash,0
402,comfort pure fabric condition bargain howe dont think consist shops nice doesnt seem last iron,0
403,great value great value money fantasy love smell east wash tablet,0
404,love get moisture like simple brand sent need really chemical simple moisture moisture fantasy little smell get like consist without stick gloomy market moisture apply well sink quick leave feel refresh moisture heavy stick reaction moisture combine moisture ideal greasy hour wear find feel total normal greasy sometime get cream moisture found could apply make vasili within short period time moisture sunk vasili light wrinkle although moisture perform miracle prevent dry day effect heat sun think best moisture job side effect,1
405,value money hamper make christmas sure good comfort,0
406,ready need remove stain keep wash great conduct,0
407,expel beat price smell clean love,0
408,a dont buy a dont buy wipe thick like wet paper towel usual wipe actual sore,0
409,smell devil smell beauty well worth money,0
410,has east throw drum that mess liquid spill wash well big,0
411,sting dry any gentle really sting eye leave around eye dry flank a go,1
412,good given review think it good bolster love soft dry flank patch disappear,1
413,fantasy south lotion first time vaselin intense all lotion brilliant leave soft supply nice fresh scent linger very good dry thorough moisture leave greasy patch would definite buy would high recommend review collect part promote,1
414,love smooth lotion got bath felt really luxury smelt device love fact little drop vaselin jelly bottle good size last age high recommend review collect part promote,1
415,would recommend great well package great price,0
416,much cheaper buy bulk lot amazon supermarket expel value bulk buy save money long run,0
417,great invest like door afford bulk buy obvious choice far inv month still half pack left,0
418,item arrive ok good item thank,0
419,good quality condition good quality condition water leave cloth soft smell nice bulk buy devil simple bought funnel could decent small condition bottle easier full bottle condition section washed,0
420,arrive quick great,0
421,awesom great thank came day later smell love,0
422,best moisture ever moisture past cause breakup moisture job hydrate dry breakup high doubt ever switch not,1
423,good like make soft smell fresh greasy absorb quick make soft comfort first thought smell little bit strong thought ok review collect part promote,1
424,round champion think every household cabinet patch south leave refresh nongreasi even last fore review collect part promote,1
425,love scent job suffer really dry winter month despite put layer layer usual moisture need layer within lotion keep moisture whole day texture thick worry first let fool inured work treat keep moisture lock love smell review collect part promote,1
