,online_store,brand,category,product_description,review_rating,review_title,review_text,review_type,parent_review,verified_purchase,helpful_review_count,review_delt,title_review_comments
35,7,25,2,Simple Water Boost Skin Quench Sleeping Cream 50ml,5,Light as a feather,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",1,1,1,0,28,"Light as a feather I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]"
36,4,0,2,Alberto Balsam  Coconut & Lychee Shampoo 350ml,5,Good,Smells nice,0,1,0,0,1,Good Smells nice
37,1,31,2,Tresemme  Cleanse & Replenish Shampoo 900ml,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,0,0,0,0,30,Great. A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.
38,1,16,2,Lynx Africa Body Spray Deodorant Aerosol 200ml,5,"As described, quick delivery",Happy with item,0,0,0,0,17,"As described, quick delivery Happy with item"
39,1,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,0,0,0,30,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!"
40,1,8,1,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,5,Lenor,Great value,0,1,0,0,29,Lenor Great value
41,1,8,1,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,5,Great price delivered to your door,Love this comfort,0,1,0,0,27,Great price delivered to your door Love this comfort
42,6,7,0,Colman's  Cheddar Cheese Sauce Mix 40g,1,yuck,Horrible.,0,1,1,0,30,yuck Horrible.
43,1,16,2,Lynx  Black Shower Gel 400ml,5,a great product,a great buy,0,0,0,0,30,a great product a great buy
44,1,21,1,Persil  Colour Washing Liquid 60 Wash,3,"Love the design of the container but it is heavily perfumed, not for me!","Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",0,1,0,0,28,"Love the design of the container but it is heavily perfumed, not for me! Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!"
45,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,Great for darks,Washes sharks well,0,1,0,0,24,Great for darks Washes sharks well
46,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,excellent,excellent,0,1,0,0,5,excellent excellent
47,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,Good,Thank you Im very happy,0,1,0,0,26,Good Thank you Im very happy
48,1,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,0,0,0,0,30,Christmas smellies Good pleasant smelling deoderant boys will love it at christmas.
49,1,31,2,Tresemme  Moisture Rich Shampoo 900ml,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,0,0,0,0,30,Good shampoo delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered
50,7,25,2,Simple Kind To Skin Purifying Cleansing Lotion 200ml,5,Best Make-up remover product,"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",0,1,1,0,30,"Best Make-up remover product Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?"
51,6,19,0,Marmite  Spread Yeast Extract 250g,5,can't beat it,not sure why the big jar costs more than double this size though!,0,1,1,0,30,can't beat it not sure why the big jar costs more than double this size though!
52,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0,0,0,0,29,"what a bargain Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well"
53,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0,1,0,0,29,"Great For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!"
54,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Lovely scent,"Great buy, smells gorgeous",0,1,0,0,30,"Lovely scent Great buy, smells gorgeous"
55,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0,1,0,0,29,"what a bargain Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well"
56,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Lovely scent,"Great buy, smells gorgeous",0,0,0,0,30,"Lovely scent Great buy, smells gorgeous"
57,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0,0,0,0,29,"Great For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!"
58,0,11,2,Dove  Original Beauty Cream Bar 4 x 100g,5,Texture,Texture liked.used for bath/shower,0,1,0,1,29,Texture Texture liked.used for bath/shower
59,0,8,1,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,5,super buy,shared with family,0,1,0,0,17,super buy shared with family
60,0,8,1,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,5,We love the smell,We love it and even better when its on a deal,0,1,0,0,25,We love the smell We love it and even better when its on a deal
61,0,8,1,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,5,Good seller,Great product!,0,1,0,0,27,Good seller Great product!
62,0,11,2,Dove  Deeply Nourishing Body wash 500ml,4,Not as advertised,"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",0,1,0,0,30,"Not as advertised Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance."
63,0,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,0,1,0,0,29,Christmas smellies Good pleasant smelling deoderant boys will love it at christmas.
64,0,12,2,Dove Men+Care  Invisible Dry Aerosol Anti-perspirant Deodorant 250ml,4,"Good price, good product","Good price and nice smell, not overpowering. Doesnt leave white powdery mess like some anti perspirents do. Happy.",0,1,0,0,29,"Good price, good product Good price and nice smell, not overpowering. Doesnt leave white powdery mess like some anti perspirents do. Happy."
65,0,31,2,Tresemme  Cleanse & Replenish Shampoo 900ml,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,0,1,0,0,30,Great. A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.
66,0,31,2,Tresemme  Moisture Rich Shampoo 900ml,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,0,1,0,0,29,Good shampoo delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered
67,0,25,2,Simple Kind to Skin Exfoliating Facial Wipes 25 Wipes,5,Good buy,"Good wipes, good buy",0,1,0,0,30,"Good buy Good wipes, good buy"
68,0,19,0,Marmite  Spread Yeast Extract 500g,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,1,0,0,29,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it."
69,0,16,2,Lynx  Black Shower Gel 400ml,5,a great product,a great buy,0,0,0,0,29,a great product a great buy
70,0,8,1,Comfort Creations Cherryblossom & Sweetpea Fabric Conditioner 33 Wash 1.16L,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,0,0,0,0,30,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes."
71,0,8,1,Comfort  Strawberry & Lily Fabric Conditioner 33 Wash,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,0,0,0,0,30,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes."
72,0,8,1,Comfort  Honeysuckle & Sandalwood Fabric Conditioner 33 Wash,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,0,1,0,0,30,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes."
73,0,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,1,0,0,30,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!"
74,0,19,0,Marmite  Spread Yeast Extract 500g,4,Vitamin B12.,Excellent,0,1,0,0,29,Vitamin B12. Excellent
75,8,31,2,Tresemme Keratin Smooth Heat Protection Spray 200ml,5,Leaves coloured hair shiny!,"I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",0,1,1,0,30,"Leaves coloured hair shiny! I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away"
76,1,31,2,Tresemme  Heat Defence Spray 300ml,5,Great Value,So much cheaper than in Boots. Great value!!!,0,0,0,0,30,Great Value So much cheaper than in Boots. Great value!!!
77,6,10,1,Domestos Power 5 Lime Toilet Rim Block 1pc,2,Nope,"I like the blue version but this is such an overpowering, awful smell it had to be binned.",0,1,1,0,30,"Nope I like the blue version but this is such an overpowering, awful smell it had to be binned."
78,0,21,1,"Persil Powercaps Bio Washing Capsules 50 Wash, 1350g",5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0,0,0,1,30,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me."
79,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Comfort softener,Excellent value and you don't hav to carry it,0,1,0,0,30,Comfort softener Excellent value and you don't hav to carry it
80,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Price,Washing,0,0,0,0,30,Price Washing
81,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Comfort softener,Excellent value and you don't hav to carry it,0,0,0,0,30,Comfort softener Excellent value and you don't hav to carry it
82,0,21,1,"Persil Powercaps Non Bio Washing Capsules 50 Wash, 1350g",5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0,0,0,1,30,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me."
83,0,21,1,"Persil Powercaps Colour Washing Capsules 38 Wash, 1026g",5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0,0,0,1,30,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me."
84,0,21,1,"Persil Powercaps Bio Washing Capsules 38 Wash, 1026g",5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0,1,0,1,30,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me."
85,0,29,1,Surf  Tropical Lily Washing Liquid 85 Wash 3L,5,Best washing liquid,Lovely fresh smell,0,1,0,0,30,Best washing liquid Lovely fresh smell
86,0,8,1,Comfort Intense Fuchsia Passion Fabric Conditioner 38 Wash 570ml,5,happy,great item,0,1,0,0,30,happy great item
87,0,23,0,Pot Noodle  Sticky Rib Standard 90g,5,Noodle tastic,Whats not to like noodles that taste like spare ribs,0,0,0,0,30,Noodle tastic Whats not to like noodles that taste like spare ribs
88,0,21,1,"Persil Powercaps Non Bio Washing Capsules 38 Wash, 1026g",5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0,0,0,1,30,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me."
89,0,31,2,Tresemme  Heat Defence Spray 300ml,5,Great Value,So much cheaper than in Boots. Great value!!!,0,1,0,0,30,Great Value So much cheaper than in Boots. Great value!!!
90,0,11,2,Dove  Invisible Dry Anti-perspirant Deodorant Stick 40ml,5,Good if you have sensitive skin,"This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",0,1,1,0,30,"Good if you have sensitive skin This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended."
91,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Price,Washing,0,1,0,0,30,Price Washing
92,0,11,2,Dove  Deeply Nourishing Body wash 500ml,5,The real dove not a copy.,Great body wash. Cheap and fast delivery,0,1,0,0,30,The real dove not a copy. Great body wash. Cheap and fast delivery
93,2,14,0,Hellmann's  Real Mayonnaise 600g,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",0,1,1,0,30,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?"
94,2,14,0,Hellmann's  Real Mayonnaise 400g,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",0,1,1,0,30,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?"
95,1,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1,Angry and useless product,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",0,0,0,0,30,"Angry and useless product Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste."
96,1,28,2,Sure  Active Dry Anti-perspirant Deodorant Aerosol 250ml,5,Sure men,Bought this for my step dad,0,1,0,0,30,Sure men Bought this for my step dad
97,1,16,2,Lynx Africa Body Spray Deodorant Aerosol 200ml,5,Lynx effect? Definitely depends on the person,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,0,1,0,0,30,Lynx effect? Definitely depends on the person Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else
