,online_store,brand,category,product_description,review_rating,review_title,review_text,review_type,parent_review,verified_purchase,helpful_review_count,review_delt,title_review_comments,char_count,word_count,sent_count,capital_char_count,capital_word_count,quoted_word_count,stopword_count,unique_word_count,htag_count,mention_count,avg_wordlength,avg_sentlength,unique_vs_words,stopwords_vs_words,! count,""" count",# count,$ count,% count,& count,' count,( count,) count,* count,+ count,", count",- count,. count,/ count,: count,; count,< count,= count,> count,? count,@ count,[ count,\ count,] count,^ count,_ count,` count,{ count,| count,} count,~ count
10,4,15,0,Knorr  Rich Beef Stock Pot 8 x 28g,5,Good,Thank you IÂm very happy,0,1,0,0,1,good thank inm happy,30,6,1,4,0,0,2,6,0,0,5.0,6.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,5,Deodorant,Beautiful,0,1,0,0,1,door beauty,19,2,1,2,0,0,0,2,0,0,9.5,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,31,2,Tresemme Moisture Rich Conditioner 900ml,5,Repeat purchase,Always buy. Big bottles,0,0,0,0,1,repeat purchase away buy big bottle,39,6,2,3,0,0,0,6,0,0,6.5,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,6,1,Cif Citrus Bathroom Mousse 500ml,5,Very handy,Does what is says it does,0,0,1,0,10,hand say,36,8,1,2,0,0,4,8,0,0,4.5,8.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,31,2,Tresemme Silky Smooth Conditioner 900ml,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,0,0,0,10,expel bad treat hair away heavily mistress hair work wonder time time,125,22,1,2,0,0,8,18,0,0,5.681818181818182,22.0,0.8181818181818182,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,10,1,Domestos  Original Bleach 750ml,5,Recommend,Great value,0,1,0,0,1,recommend great value,21,3,1,2,0,0,0,3,0,0,7.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,31,2,Tresemme Silky Smooth Conditioner 900ml,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,1,0,0,12,expel bad treat hair away heavily mistress hair work wonder time time,125,22,1,2,0,0,8,18,0,0,5.681818181818182,22.0,0.8181818181818182,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,11,2,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,5,Happy,"ItÂs not the one in the picture, but gets 5 stars because itÂs the regular one I use and itÂs awesome for people with dry skin.",0,1,0,0,1,happy it picture get star it regular it awesom people dry,136,27,1,6,1,0,10,23,0,0,5.037037037037037,27.0,0.8518518518518519,0.37037037037037035,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Really works,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",0,1,0,0,1,really work item describe expel quality rapid deliver great merit red bluish,112,15,1,3,0,0,2,15,0,0,7.466666666666667,15.0,1.0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,11,2,Dove  Gentle Exfoliating Body wash 250ml,5,Lovely,Good body wash but not a very strong smell,0,1,0,0,1,love good wash strong smell,49,10,1,2,0,0,4,10,0,0,4.9,10.0,1.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,11,2,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,5,Toiletries,Great,0,1,0,0,1,toilet great,16,2,1,2,0,0,0,2,0,0,8.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,11,2,Dove  Gentle Exfoliating Body wash 250ml,5,Toiletries,Great,0,1,0,0,1,toilet great,16,2,1,2,0,0,0,2,0,0,8.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,20,3,PG tips  Original Tea Bags 240,5,More for your money!,Worth it!,0,0,0,0,1,money worth,30,6,2,2,0,0,3,6,0,0,5.0,3.0,1.0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,1,2,Badedas  Original Bath 750ml,5,Superb,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,0,1,1,0,2,superb remember friend house year ago give month buy,130,26,2,5,1,0,11,26,0,0,5.0,13.0,1.0,0.4230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,8,1,Comfort  Blue Skies Fabric Conditioner 114 Wash 4L,5,Great,Great,0,1,0,0,20,great great,11,2,1,2,0,0,0,1,0,0,5.5,2.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,3,Pay a little more for a better antiperspirant,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,0,1,0,0,1,pay little better antiperspir best antiperspir unless like go work snow drift arm,147,27,1,2,0,0,13,24,0,0,5.444444444444445,27.0,0.8888888888888888,0.48148148148148145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,5,Smells lovely,Love this product,0,1,0,0,1,smell love love,31,5,1,2,0,0,1,5,0,0,6.2,5.0,1.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,17,3,Magnum Almond Ice Cream 4 x 100ml,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,0,1,1,0,1,adduct eat i\added content love \added,89,17,2,5,2,0,4,15,0,0,5.235294117647059,8.5,0.8823529411764706,0.23529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
28,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Beautifully Moisturising,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",0,1,1,0,1,beauty moisture love rang lotion aren\added greasy east apply soak quick leave feel super soft moisture great value money scent fresh light great go beauty essential bathroom cupboard review collect part promote,342,60,3,5,1,0,24,50,0,0,5.7,20.0,0.8333333333333334,0.4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,A miracle in a bottle! Absolutely love this product!,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",0,1,1,0,1,miracle bottle absolute love suffer dry sent vaselin make flare pitch like crazy first thing notice beauty fresh smell escape lift cap apply drop instant felt south relief vasili moisture absorb effortless greasy unlike clot moisture every day improve dry conduct massive could recommend enough absolute love review collect part promote,658,117,5,12,8,0,44,85,0,0,5.6239316239316235,23.4,0.7264957264957265,0.37606837606837606,5,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30,1,29,1,Surf  Tropical Lily Washing Liquid 85 Wash 3L,5,"Lingering, comforting smell and cleans really well",Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,0,1,0,0,25,linger comfort smell clean really well absolute love stuff leave love linger fragrance smell time open wardrobe cloth drawer get every clean really well remind kid sum put fresh under cloth love,322,57,1,5,1,0,21,45,0,0,5.649122807017544,57.0,0.7894736842105263,0.3684210526315789,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,29,1,Surf  Tropical Lily Washing Liquid 85 Wash 3L,5,Very happy with it,Very happy with it,0,1,0,0,24,happy happy,37,8,1,2,0,0,4,4,0,0,4.625,8.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,21,1,Persil  Silk and Wool Washing Liquid 15 Wash 750ml,5,Perfect for cashmere sweaters and silk tops,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,0,1,0,0,1,perfect cashier sweeter silk top love wash cashier sweeter home save lot money compare cloth dryclean every week happy purchase,210,39,3,5,2,0,15,33,0,0,5.384615384615385,13.0,0.8461538461538461,0.38461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Skin so soft.. highly recommend!,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],0,1,1,0,1,soft high recommend prior receive pretty rough elbow particular feel dry busy sum two admit sometime neglect may empathis trial gave perfect opportune recollect bit \did me time\did day bath shower smother must admit first time put wasn\added sure smell it\added offense it\added like succumb smell although it\added all tend smell perfume time howe day actual like smell applied went nice thick soak pretty quick didn\added feel stick away more wash did did even even bedtime feel notice softer rough elbow gone verdict thumb yes continue thank fall trial introduce vaselin all review collect part promote,1072,196,12,25,11,0,77,132,0,0,5.469387755102041,16.333333333333332,0.673469387755102,0.39285714285714285,3,0,0,0,0,0,0,1,1,0,0,0,0,15,1,3,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0
34,0,16,2,Lynx Africa Body Spray Deodorant Aerosol 200ml,5,"As described, quick delivery",Happy with item,0,1,0,0,16,describe quick deliver happy item,44,7,1,2,0,0,1,7,0,0,6.285714285714286,7.0,1.0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,7,25,2,Simple Water Boost Skin Quench Sleeping Cream 50ml,5,Light as a feather,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",1,1,1,0,28,light feather really like texture almost like get really light vasili absorb leave feel soft fresh without weight thicker cream would buy review collect part promote,288,54,3,5,1,0,23,46,0,0,5.333333333333333,18.0,0.8518518518518519,0.42592592592592593,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,4,0,2,Alberto Balsam  Coconut & Lychee Shampoo 350ml,5,Good,Smells nice,0,1,0,0,1,good smell nice,16,3,1,2,0,0,0,3,0,0,5.333333333333333,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,31,2,Tresemme  Cleanse & Replenish Shampoo 900ml,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you donÂt need to keep buying more and very good price.,0,0,0,0,30,great great deal these shampoo give long last supply dont need keep buy good price,127,24,2,3,1,0,8,24,0,0,5.291666666666667,12.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,16,2,Lynx Africa Body Spray Deodorant Aerosol 200ml,5,"As described, quick delivery",Happy with item,0,0,0,0,17,describe quick deliver happy item,44,7,1,2,0,0,1,7,0,0,6.285714285714286,7.0,1.0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Dove MenÂs + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,0,0,0,30,men door get older know like suitable like give fresh wide away feel dandruff flakes smell a/pit,226,43,4,9,1,0,17,35,0,0,5.255813953488372,10.75,0.813953488372093,0.3953488372093023,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,8,1,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,5,Lenor,Great value,0,1,0,0,29,tenor great value,17,3,1,2,0,0,0,3,0,0,5.666666666666667,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,8,1,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,5,Great price delivered to your door,Love this comfort,0,1,0,0,27,great price devil love comfort,52,9,1,2,0,0,3,9,0,0,5.777777777777778,9.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6,7,0,Colman's  Cheddar Cheese Sauce Mix 40g,1,yuck,Horrible.,0,1,1,0,30,luck horrible,14,2,1,1,0,0,0,2,0,0,7.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,16,2,Lynx  Black Shower Gel 400ml,5,a great product,a great buy,0,0,0,0,30,great great buy,27,6,1,0,0,0,2,4,0,0,4.5,6.0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,21,1,Persil  Colour Washing Liquid 60 Wash,3,"Love the design of the container but it is heavily perfumed, not for me!","Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",0,1,0,0,28,love design contain heavily perfume love contain east refill other automatic liquid future thick gloomy hard economy scent smell like wear wash may love ring,341,66,3,5,2,0,36,53,0,0,5.166666666666667,22.0,0.803030303030303,0.5454545454545454,3,0,0,0,0,0,0,2,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,Great for darks,Washes sharks well,0,1,0,0,24,great dark wash sharp well,34,6,1,2,0,0,1,6,0,0,5.666666666666667,6.0,1.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,excellent,excellent,0,1,0,0,5,expel expel,19,2,1,0,0,0,0,1,0,0,9.5,2.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,21,1,Persil  Colour Washing Liquid 60 Wash,5,Good,Thank you IÂm very happy,0,1,0,0,26,good thank inm happy,30,6,1,4,0,0,2,6,0,0,5.0,6.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,12,2,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,0,0,0,0,30,christmas smell good pleasant smell tender boy love christmas,83,12,1,2,0,0,3,12,0,0,6.916666666666667,12.0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,31,2,Tresemme  Moisture Rich Shampoo 900ml,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,0,0,0,0,30,good shampoo devil quick decent shampoo star bottle leak devil,103,17,2,1,0,0,5,16,0,0,6.0588235294117645,8.5,0.9411764705882353,0.29411764705882354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,25,2,Simple Kind To Skin Purifying Cleansing Lotion 200ml,5,Best Make-up remover product,"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",0,1,1,0,30,best make remove lot make brand past bought expense make remove none ever remove lascar eyeshadow found base etc gentle well simple clean lotion consist run squeeze bottle appropri onto cotton wool ideal control much dispense great tide eyelid lascar error apply scars cotton wool bud away keep bathroom cabinet pay,558,94,5,10,0,0,36,80,0,0,5.9361702127659575,18.8,0.851063829787234,0.3829787234042553,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,6,19,0,Marmite  Spread Yeast Extract 250g,5,can't beat it,not sure why the big jar costs more than double this size though!,0,1,1,0,30,beat sure big jar cost doubt size though,79,16,1,0,0,0,7,16,0,0,4.9375,16.0,1.0,0.4375,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,what a bargain,"Got this on offer for Â£6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0,0,0,0,29,bargain got offer â£d cloth soft smell great last long time did genuine well,150,30,2,3,1,0,14,28,0,0,5.0,15.0,0.9333333333333333,0.4666666666666667,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Great,"For Â£6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0,1,0,0,29,great â£d may buy last month smelt may neighbour even ask buy,117,23,1,3,1,0,9,21,0,0,5.086956521739131,23.0,0.9130434782608695,0.391304347826087,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,8,1,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,5,Lovely scent,"Great buy, smells gorgeous",0,1,0,0,30,love scent great buy smell gorgeous,39,6,1,2,0,0,0,6,0,0,6.5,6.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,what a bargain,"Got this on offer for Â£6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0,1,0,0,29,bargain got offer â£d cloth soft smell great last long time did genuine well,150,30,2,3,1,0,14,28,0,0,5.0,15.0,0.9333333333333333,0.4666666666666667,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Lovely scent,"Great buy, smells gorgeous",0,0,0,0,30,love scent great buy smell gorgeous,39,6,1,2,0,0,0,6,0,0,6.5,6.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,8,1,Comfort  Pure Fabric Conditioner 166 Wash 5L,5,Great,"For Â£6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0,0,0,0,29,great â£d may buy last month smelt may neighbour even ask buy,117,23,1,3,1,0,9,21,0,0,5.086956521739131,23.0,0.9130434782608695,0.391304347826087,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,11,2,Dove  Original Beauty Cream Bar 4 x 100g,5,Texture,Texture liked.used for bath/shower,0,1,0,1,29,texture texture liked us bath/show,42,5,1,2,0,0,1,4,0,0,8.4,5.0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,8,1,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,5,super buy,shared with family,0,1,0,0,17,super buy share family,28,5,1,0,0,0,1,5,0,0,5.6,5.0,1.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
