,title_review_comments,verified_purchase
128,"A perfect winter drink We all crave things that transport us back to more innocent times. For me Bovril is one of those things, from the gooey unctuousness of the tar black bovril overflowing from the spoon to the ""ding ding ding"" as I stir it in hot water to make it dissolve and the earthy, beefy smell with hints of celery and goodness knows what else. Sometimes you can get alcohol fatigue so Bovril is a great alternative to a nightcap or even mug of tea. I even go so far as to dissolve a pat of butter in it too for extra richness and within an hour I'm pretty much knocked out and sleep soundly until morning, warm and comforted. This pack will last me a long time I am sure, certainly 2 winters.",0
129,"Lovely conditioner Lovely, but can be bought cheaper in home bargains !",0
130,Item damaged Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,0
131,Smell vey good. Good price.,0
132,Item damaged Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,0
133,Smell vey good. Good price.,0
134,"Lovely conditioner Lovely, but can be bought cheaper in home bargains !",0
135,Good price. It came very fast.,0
136,Good price. It came very fast.,0
137,Good price. It came very fast.,0
138,Good price. It came very fast.,0
139,Good price. It came very fast.,0
140,WHERE HAS IT GONE??? Hi Simple!This is my absolute must-have facial moisturiser and now I cannot find it in UK stores anywhere. Have you discontinued this product?! Please don't!,1
141,new formula makes me constantly sneeze Please go back to the old capsules - these new ones make our household suffer a terrible allergic reaction - constant hay fever!,1
142,great smelling softener Never usually use laundry softener but was very pleasantly surprised by the results with this product. Clothes smelt great and the smell lasted despite the childrens best efforts! And the clothes came out much softer. Think I am converted!,1
143,Prefer glass jar I am a marmite lover. I have switched back to the glass jar because 1. marmite isn't the right consistency to be squeezed and 2. the glass jar can be recycled.,1
144,Great Great,0
145,Good Thank you,0
146,Good and has very good smelling clothes I got this and its be a great buy. Dont have to put much into wash and clean clothes at end of was the fragrance last long time too,0
147,"Good for sensitive skin I had been lured by all the enticing fragrances on other conditioners but noticed that my eyes would smart and my kids would ask why I seemed to be squinting my eyes. I'm now back to using Comfort Pure as I used it before with no reactions. Smells good, softens clothes, can't complain!",1
148,"Strong, but pleasant, smell. Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",1
149,"Strong, but pleasant, smell. Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",1
150,"Strong, but pleasant, smell. Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",1
151,Great Great,0
152,Very good Good,0
153,We love the smell We love it and even better when its on a deal,0
154,Excellent value Good size spray,0
155,A bargain price for the only shampoo I use The price of this bulk pack is less than buying the items individually from somewhere else. I won't use any other shampoo because they tend to dry my hair and I don't like using a lot of chemicals. This product is perfect as it contains nothing and keeps me dandruff free. Even anti-dandruff shampoo doesn't always work I've found in the past.,0
156,Stock cubes Like to make my own soups & casseroles. This product does very well for that.,0
157,Excellent value Good size spray,0
158,tasty and low calories The best ice cream ever,1
159,Excellent shampoo I live in an extremely hard water area half the year. As soon as I'm here my hair becomes dry and the scalp sensitive...this is a great shampoo! Both my husband and I are a completely satisfied.,1
160,Easy to use Easy to use. I will recommend it if you want to get all glam up to go out somewhere this is the product to use,0
161,Dissatisfied Disappointed shows big conditioner but small arrived,0
162,Good price We all know how this works,0
163,Good price We all know how this works,0
164,Price is good Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,0
165,Price is good Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,0
166,Price is good Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,0
167,Price is good Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,0
168,Price is good Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,0
169,Good value I would recommend - good value,0
170,None I will be buying again thank,0
171,It is Lynx What more is there to say,0
172,Refreshing Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,0
173,Good As expected - repeat purchase,0
174,Value for money Excellent value for money,0
175,Good value Excellent cleaning. Good value.,0
176,The best antiperspirant I've ever used Very happy with it,0
177,It is Lynx What more is there to say,0
178,Excellent value Excellent value,0
179,Good value I would recommend - good value,0
180,Good As expected - repeat purchase,0
181,Refreshing Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,0
182,None I will be buying again thank,0
183,Will certainly last a while Great Value shampoo,1
184,Great deal from amazon market place Exactly wat it says on the box but for an amazon deal so less money spent!,0
185,Not as expected. Better to buy in store. Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,0
186,Love this Amazing offer price. Couldn't resist.,0
187,Not as expected. Better to buy in store. Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,0
188,Love this Amazing offer price. Couldn't resist.,0
189,Best handwash I have hands that are really dry and bleed due to eczema and this is the only handwash that dosent dry my hands out more and make them bleed.,1
190,"Does the job! No issues, does what it says",0
191,Stock item in my stock cupboard Need I say more. Use them all the time for soups and risottos.,0
192,Does not leave white marks I simply love this deodrant. The scent is great - fresh and sporty. I have been using it for 3 weeks now and never had problems. What is more it never leaves white marks on the clothes.,1
193,Great flavour Thicken gravy really well and add a wonderful flavour,1
194,Great Amazing and great price too,0
195,"Worth the money Smells great, easy one handed application",0
196,Good value Very good value I would recommend.,0
197,Great smell Body deodorant we love the smell and great value for money.,1
198,The only floor cleaner I use The only floor cleaner I use. It smells good and my home feels so refreshed using it,0
199,All good Btilliant buy,0
200,As in pic. Value for money,0
201,"Smells fabulous All fabric conditioners work more or less the same, but this one smells divine and it lasts too.",0
202,All Day Fresh Couldn't find any in shops so bought on-line. Thought it was fake branding because it smelled similar but not quite Africa. Poorer product since the new labelling!,1
203,"Blocking nozzles Been using this for a year, very happy. Last 2 cans the nozzles have blocked within a week. Cant clear them with hot water - bit disappointed",1
204,Addicted If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,1
205,"bottle design I have been buying this for years. The contents are good. However, the bottle itself is awful. Three times it has cut right under my fingernails when opening. Also, you can't turn it upside down as it approaches empty due again to the ridiculous design of this bottle.",1
206,"Simply brilliant Pleasant to use with very little scent, which was what I wanted. These shower gels are brilliant! No nasty chemical smells and super clean design, great for the whole family, young and old. Simple products are skin friendly, meaning no perfumes, no colours. I can honestly say these are the only products that don't leave me with skin irritation. I have very sensitive, problematic skin and am prone to dermatitis. This stuff could be used as a face wash, it's so gentle. [This review was collected as part of a promotion.]",1
207,Addicted If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,1
208,"Hydrating wipes These wipes are great for getting the most stubborn make up off, I love the fact the wipes are infused with minerals and plant extracts, that when using then,ther is no irritation or stinging, and my face feels smooth an refreshed [This review was collected as part of a promotion.]",1
209,Refreshing feel and great quality Great quality wipes that are strong to use and don't tear apart like other wipes. A must buy over other brand names and I'll be purchasing more in the near future. Very satisfied with simples product line. [This review was collected as part of a promotion.],1
210,Clean great and don\u2019t have a strong smell I love these face wipes as they do at great job at removing make up and left my skin feeling squeaky clean! Added bonus was the absence of a strong smell or a feeling that some product was left over on my skin. Love them. [This review was collected as part of a promotion.],1
211,"Great for getting make up off I have sensitive skin, but these worked really well. Took my make up off easily and didn\u2019t irritate my skin. Felt really refreshing. I would definitely purchase these again for future use and would recommend this product. [This review was collected as part of a promotion.]",1
212,Works well Been using for a few months Really pleased how they work Get make up off very easily and smell nice Not to wet so leave skin moisturised and silky clean No irritation Defiently my new favourite make up remover [This review was collected as part of a promotion.],1
213,"Lovely soft skin Tried and tested this skin quenching night cream,it's of a very light soft texture and when applied at night soaks into your skin making it fell so soft. Would recommend this product to my friends and family as it works wonders . [This review was collected as part of a promotion.]",1
214,Refreshing Happy with this product. Very light on the skin and not sensitive. I would recommend it. Can apply as much as you wish during the day and it doesn\u2019t feel bad. Comes in an easy to use plastic tub with an easy screw top [This review was collected as part of a promotion.],1
215,"Light and moisturising This is a great water based moisturiser, that is light on your skin and gives you a dewy complexion. Since I have been using this product twice a day, I have noticed a significant improvement in my skins elasticity and skin tone. [This review was collected as part of a promotion.]",1
216,"Another great product. This is another great product from Simple, so don't ever stop making it!! Please!!",1
217,Pot Noodle Sticky Rib 90g good flavor,0
218,Good value Very good value I would recommend.,0
219,Great Amazing and great price too,0
220,great great,0
221,"Worth the money Smells great, easy one handed application",0
222,Surpreme No question as it says on the bottle,0
223,Surpreme No question as it says on the bottle,0
224,Sunshiny days !! Very good value. My favourite conditioner.,0
225,beautiful smell lovely smell,0
226,Sunshiny days !! Very good value. My favourite conditioner.,0
227,beautiful smell lovely smell,0
228,"Hard to spray with the nozzle Love the product, however its hard to spray. Would recommend though.",0
229,Lovely subtle scent Got this to try and wasnt disappointed. Its a little less thick than some other conditioners on the market but this makes it go further and also I notice the tray doesnt get as mucky afterwards. The clothes were soft and had a lovely subtle scent - still using the large bottle so its going a long way!,1
230,Lovely fragrance and good value A little goes a long way,1
231,"Uncertain Not convinced that smell matches original, seems less thick than previous. Why does description refer to batteries? Other reviews show as Verified Purchase - but none have names?",0
232,Great! This is such a great soap. Me and my wife loves it. It actually moisturizes our skin everytime we used it.,0
233,"Love these Love these soaps, cleans well and keeps your hand moist. Good for people with eczema",0
234,Definitely worth every penny Definitely worth the money! I do laundry very often and these lasted me for over a month! Definitely will buy again.,0
235,"Great smell and fast delivery Arrived super fast. Two good sized bottles. I dont know why some people are moaning in the reviews about the size of the fabric softener- its ultra concentrated and so you dont need to use a full cap, it will last you long enough. Fabric softener also smells great.",0
236,Comfort Great product very happy with it,0
237,Good Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,0
238,"Bargain Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for £5!",0
239,Comfort Great product very happy with it,0
240,Good Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,0
241,"Bargain Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for £5!",0
242,Great value These pods work as well as any other I've used and great value (18 for three bags when I bought),0
243,Great value These pods work as well as any other I've used and great value (18 for three bags when I bought),0
244,Great value These pods work as well as any other I've used and great value (18 for three bags when I bought),0
245,Great value These pods work as well as any other I've used and great value (18 for three bags when I bought),0
246,Great value These pods work as well as any other I've used and great value (18 for three bags when I bought),0
247,Favourite fabric softener I love Comfort Pure. Both our children have sensitive skin and it doesn't irritate like other softeners have done in the past. The scent is also very pleasant and not too overpowering,1
248,Thanks Thanks,0
249,Comfort Bit watery,0
250,Good Good,0
251,Not concentrated Blue bottle is alot better. This smells less than blue bottle and when clothes are hanged outside on washing line you can't small anything,1
252,"Great value for money Great value for money, smells nice and seems to stop my hair being static days I use it",0
253,Ok Good product,0
254,Badly packaged Product arrived broken and had spilt all over the inside of the envelope.,0
255,ok did not squirt very well,1
256,Dishwater Very good value for the amount of capsuls you get in the packet and a very good price,0
257,"Comfort conditioner Bit too runny,not as thick liquid as most but ok.",0
258,Quality product Works great,0
259,"New formula burns my skin I have used Simple Rich moisturiser for years, I now need to find an alternative as the new formula burns my skin. It's a real shame that loyal customers are having to switch, with no information or explanation provided by the manufacturer.",1
260,Ok Good product,0
261,Badly packaged Product arrived broken and had spilt all over the inside of the envelope.,0
262,"Great value for money Great value for money, smells nice and seems to stop my hair being static days I use it",0
263,Thanks Thanks,0
264,Fantastic product excellent value for money,0
265,Value for money These are great. I will buy more!,0
266,Didn't like the scent But that's personal taste. Sold mine on.,0
267,Value for money These are great. I will buy more!,0
268,Didn't like the scent But that's personal taste. Sold mine on.,0
269,Value for money These are great. I will buy more!,0
270,Didn't like the scent But that's personal taste. Sold mine on.,0
271,Value for money These are great. I will buy more!,0
272,Didn't like the scent But that's personal taste. Sold mine on.,0
273,Value for money These are great. I will buy more!,0
274,Didn't like the scent But that's personal taste. Sold mine on.,0
275,lovely All three of the flavours are so good,1
276,The best I have tried many English mustards in my time but always come back to Colmans. If I am out for a Sunday roast I take a tube with me as invariably I will be served an inferior one.,1
277,"Our favourite tea As the title suggests, I really wont buy any other tea bags. PG Tips have a good, strong flavour. I like a strong tea and can get a really good cup with these tea bags. Not overly packaged, which I like. I have never had any problems with damaged tea bags as others have mentioned. Will continue to buy these as a staple.",1
278,Bleachy This is bleach. Bleachy bleach bleach!,1
279,"Lovely fragrance I have been buying this shampoo for my husband (who shaves his head every other week) for years, as he doesnt require an expensive shampoo. The fragrance is lovely and he has no complaints about the product. Lathers up well and cleans his head/tiny bit of hair perfectly. Nice packaging. You really cant go wrong for £1",1
280,Recommend Great value,0
281,"Love this! This Dove deodorant stick is the best deodorant I have ever used. It goes on lovely, smells amazing and leaves me feeling dry and confident that i smell fresh all day long. I love this product, 5 stars and highly recommended.",1
282,Quality product Works great,0
283,Great product Great quality,0
284,"Brilliant smell Buy this on my amazon prime orders, no problem at all",0
285,Great product Great quality,0
286,Great product Great quality,0
287,Great product Great quality,0
288,"Smells beautiful Great product, lovely scent. Lasts me ages.",0
289,A+ A+,0
290,Good Washes clothes nice,0
291,A+ A+,0
292,Good Washes clothes nice,0
293,A+ A+,0
294,Good Washes clothes nice,0
295,Good Washes clothes nice,0
296,A+ A+,0
297,A+ A+,0
298,Good Washes clothes nice,0
299,Great taste Great taste and adds depth of flavour to any meal. More importantly to my family is that they're gluten free,0
300,Tastes nothing like it's supposed too. Years ago I used to love pot noodles as a student but these were yuck! I had to add additional sauce and even then the pasta tasted like carboard. I was in a situation recently where I only has access to a kettle and chose these over mugshots.....big mistake!!,0
301,"Unsuitable bottle - SPILLAGE While I like the product, the bottle is unsuitable. The plastic is very thin, which is a good thing, and this means it almost impossible to pick up the bottle and fill the very small cap without spilling a significant amount, especially when the bottle is still relatively full. Do buy this, but only if you are happy to decant the content into a sturdier bottle.",1
302,Smells Fab! I love lynx products so was happy to buy this to write a review. I am female but I like the scent of mens products and I think the scent stays longer on the skin. Nice consistency too so you don't lose it off your hands and down the plughole!,1
303,Spot on perfect,0
304,Lovely smell Great product! Great price,0
305,"Really good and long lasting They last forever, work well and I now wouldn't change to another brand. Smell is pretty neutral",0
306,Spot on perfect,0
307,"Really good and long lasting They last forever, work well and I now wouldn't change to another brand. Smell is pretty neutral",0
308,Good Goos,0
309,Good Goos,0
310,"Even non-vegans loved it Some very considerate friends brought this to a dinner party for the vegans to enjoy and turns out everybody loves it, some even more than the dairy version because of its delicious flavour and less heavy texture. Really good vanilla ice cream!",1
311,"Stupid Lid Product is fine. But I struggle to get the smooth thin lid off most of the time. With wet hands, impossible. Also the design makes it difficult to hold and pour the bottle. Won't buy again.",1
312,"Dove deodorant I always buy this product, I love it. It's a quality product, smells nice, doesn't leave marks on your clothes!!!",1
313,"I can't do without it, it's an amazing product I love this product It's keeps my hair protected",0
